"time","Pack Voltage"
"1803.352","292.6"
"1803.865","292.9"
"1804.378","292.6"
"1804.891","292.9"
"1807.456","292.9"
"1807.969","292.6"
"1808.482","292.9"
"1808.995","292.9"
"1809.508","292.6"
"1810.021","292.9"
"1810.534","292.6"
"1811.047","292.9"
"1811.56","292.9"
"1812.073","292.6"
"1812.586","292.9"
"1815.151","292.9"
"1815.664","292.6"
"1816.177","292.6"
"1816.69","292.9"
"1817.203","292.9"
"1817.716","292.6"
"1818.229","292.9"
"1819.768","292.9"
"1820.281","292.6"
"1820.794","292.9"
"1824.385","292.9"
"1824.898","292.6"
"1825.411","292.6"
"1825.924","292.9"
"1829.002","292.9"
"1829.515","292.6"
"1830.028","292.6"
"1830.541","292.9"
"1833.619","292.9"
"1834.132","292.6"
"1834.645","292.9"
"1835.158","292.6"
"1835.671","292.6"
"1836.184","292.9"
"1836.697","292.9"
"1837.21","292.6"
"1837.723","292.9"
"1838.236","292.6"
"1838.749","292.9"
"1839.775","292.9"
"1840.288","292.6"
"1840.801","292.9"
"1841.827","292.9"
"1842.34","292.6"
"1842.853","292.9"
"1843.366","292.9"
"1843.879","292.6"
"1844.392","292.6"
"1844.905","292.9"
"1845.418","292.9"
"1845.931","292.6"
"1846.444","292.9"
"1846.957","292.6"
"1847.47","292.9"
"1848.496","292.9"
"1849.009","292.6"
"1849.522","292.9"
"1851.061","292.9"
"1851.574","292.6"
"1852.087","292.9"
"1854.139","292.9"
"1854.652","292.6"
"1855.165","292.9"
"1855.678","292.9"
"1856.191","292.6"
"1856.704","292.9"
"1857.217","292.6"
"1857.73","292.9"
"1858.243","292.6"
"1858.756","292.9"
"1859.269","292.6"
"1859.782","292.9"
"1861.321","292.9"
"1861.834","292.6"
"1862.347","292.9"
"1862.86","292.9"
"1863.373","292.6"
"1863.886","292.9"
"1865.938","292.9"
"1866.451","292.6"
"1866.964","292.9"
"1867.477","292.6"
"1867.99","292.9"
"1871.068","292.9"
"1871.581","292.6"
"1872.094","292.6"
"1872.607","292.9"
"1874.659","292.9"
"1875.172","292.6"
"1875.685","292.9"
"1876.711","292.9"
"1877.224","292.6"
"1877.737","292.9"
"1878.25","292.6"
"1878.763","292.9"
"1880.302","292.9"
"1880.815","292.6"
"1881.328","292.6"
"1881.841","292.9"
"1882.354","292.6"
"1882.867","292.9"
"1883.38","292.6"
"1883.893","292.9"
"1889.023","292.9"
"1889.536","292.6"
"1890.049","292.6"
"1890.562","292.9"
"1891.075","292.6"
"1891.588","292.6"
"1892.101","292.9"
"1894.153","292.9"
"1894.666","292.6"
"1895.692","292.6"
"1896.205","292.9"
"1900.309","292.9"
"1900.822","292.6"
"1901.335","292.9"
"1902.361","292.9"
"1902.874","292.6"
"1903.387","292.6"
"1903.9","292.9"
"1904.413","292.6"
"1904.926","292.6"
"1905.439","292.9"
"1917.751","292.9"
"1918.264","292.6"
"1918.777","292.6"
"1919.29","292.9"
"1924.42","292.9"
"1924.933","292.6"
"1925.446","292.9"
"1928.011","292.9"
"1928.524","292.6"
"1929.037","292.9"
"1930.063","292.9"
"1930.576","292.6"
"1931.089","292.9"
"1931.602","292.9"
"1932.115","292.6"
"1932.628","292.9"
"1936.219","292.9"
"1936.732","292.6"
"1937.245","292.9"
"1938.271","292.9"
"1938.784","292.6"
"1939.297","292.9"
"1940.323","292.9"
"1940.836","292.6"
"1941.349","292.9"
"1943.914","292.9"
"1944.427","292.6"
"1944.94","292.9"
"1951.096","292.9"
"1951.609","292.6"
"1952.122","292.9"
"1953.148","292.9"
"1953.661","292.6"
"1954.174","292.9"
"1955.713","292.9"
"1956.226","292.6"
"1956.739","292.9"
"1958.278","292.9"
"1958.791","292.6"
"1959.304","292.9"
"1959.817","292.6"
"1960.33","292.9"
"1972.129","292.9"
"1972.642","292.6"
"1973.155","292.9"
"1978.798","292.9"
"1979.311","292.6"
"1979.824","292.9"
"1984.441","292.9"
"1984.954","292.6"
"1985.467","292.9"
"1990.084","292.9"
"1990.597","292.6"
"1991.11","292.9"
"2000.344","292.9"
"2000.857","292.6"
"2001.37","292.9"
"2001.883","292.6"
"2002.396","292.9"
"2003.422","292.9"
